58,57,54,54,56,56,19,56,55,57,55,54,55,19,54,58,19,56,54,57,59,55,55,56,19,57,19,57,59,54,55,57,54,19,58,55,19,57,58,58,56,59,57,59,19,58,54,55,55,56,57,58,54,19,57,54,57,59,54,19,55,19,57,56,56,56,55,57,56,19,19,19,58,57,54,56,56,19,59,54,57,54,19,59,56,59,19,57,56,19,58,54,54,19,54,58,54,59,58,58,57,59,58,58,59,19,56,59,19,57,56,56,56,58,19,58,19,19,58,55,56,59,55,19,58,58,19,58,55,55,58,55,19,55,56,55,55,58,57,55,54,54,19,19,3,4,37,37,37,4,4,5,58,55,55,56,3,37,4,4,37,5,55,54,59,58,55,19,19,54,59,58,57,57,56,56,19,57,56,55,19,55,57,56,54,56,56,54,55,19,54,57,19,19,57,54,19,56,19,59
59,56,19,55,59,19,57,59,57,59,54,56,19,56,57,57,58,3,4,37,37,37,4,4,37,4,4,37,5,57,56,19,19,54,57,55,19,55,19,56,56,58,57,57,56,58,55,58,59,56,56,19,58,56,19,59,57,58,55,56,56,55,58,55,19,58,56,58,54,57,57,57,56,57,58,56,59,57,55,56,54,56,59,56,55,19,54,55,58,57,58,54,59,59,59,59,59,19,54,56,54,57,58,57,54,54,58,54,59,56,54,59,58,55,56,56,56,54,58,55,55,58,55,54,19,55,55,19,55,54,59,19,54,55,56,57,59,54,54,57,58,56,57,3,38,-1,-1,-1,-1,-1,-1,36,4,37,37,4,38,-1,-1,-1,-1,36,5,58,57,57,54,59,54,55,56,58,57,54,57,19,59,55,58,59,55,58,56,56,55,55,56,59,19,55,55,19,19,54,19,58,54,59,19,55
59,19,19,19,56,59,57,19,3,4,37,37,5,59,3,4,4,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,37,5,58,3,37,37,37,4,4,5,56,59,59,54,59,54,57,59,57,58,56,54,19,57,56,57,56,58,59,58,56,54,19,56,54,56,55,56,54,55,58,58,55,19,19,55,19,57,55,56,54,54,54,59,56,58,54,59,54,57,54,19,54,54,59,57,59,59,59,57,57,59,55,56,19,58,56,57,58,56,19,55,59,54,58,59,56,56,56,55,59,56,19,56,54,56,57,54,56,59,54,59,57,56,55,55,54,19,58,54,54,56,58,3,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,37,4,37,4,37,5,54,58,19,59,19,55,59,54,57,58,54,58,55,59,59,56,56,54,58,19,56,19,58,54,59,54,58,55,55,57,58
37,37,4,37,37,37,4,37,38,-1,-1,-1,81,82,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,46,47,-1,-1,-1,-1,-1,36,37,4,37,5,57,54,19,55,54,58,54,55,57,57,57,55,57,59,56,58,59,58,54,57,57,59,57,54,55,57,55,56,57,56,55,19,54,55,54,56,59,57,58,58,55,57,55,55,58,56,55,58,56,58,59,59,58,54,57,58,56,19,54,56,19,59,57,19,59,55,19,19,58,58,56,59,56,56,55,19,57,57,57,58,56,54,59,55,58,19,57,58,55,19,59,57,59,56,54,54,59,3,37,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,56,57,59,55,59,19,57,57,19,54,19,56,59,55,56,58,59,55,54,55,19,19,55,19,59,57,55,59,55,58,57
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,85,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,34,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,4,4,5,58,57,59,56,54,56,19,56,54,56,56,57,58,58,19,59,57,55,59,58,58,56,56,58,55,56,57,56,57,54,57,54,59,56,55,58,19,56,54,55,59,54,56,56,56,56,58,54,59,19,54,3,5,57,54,54,59,56,57,54,19,54,19,55,54,54,57,57,56,55,57,56,55,19,57,57,55,59,57,55,54,59,59,58,57,59,56,59,54,19,55,56,3,37,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,5,19,55,54,57,59,56,55,56,59,55,54,58,59,59,55,58,58,19,56,54,55,59,55,58,55,56,54,58,59,57
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,34,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,88,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,4,4,37,37,37,5,19,58,19,56,59,19,57,54,55,57,54,57,19,3,4,4,4,4,5,56,56,58,58,56,57,56,3,4,37,4,37,37,37,37,37,5,58,54,56,55,58,55,59,19,58,21,36,4,5,55,55,56,57,54,19,19,56,56,56,56,55,57,59,55,54,55,57,59,56,19,58,59,58,59,59,56,56,58,57,57,57,56,55,58,3,4,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,73,163,73,73,73,74,-1,-1,-1,-1,-1,-1,-1,-1,36,37,5,19,55,56,58,54,55,59,57,58,55,54,54,59,56,57,58,19,19,59,55,58,57,59,54,57,56,55,19
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,34,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,34,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,4,37,37,5,59,55,54,3,37,37,4,4,4,38,-1,-1,-1,-1,18,59,57,59,55,59,57,3,38,-1,-1,-1,-1,-1,-1,-1,-1,36,4,5,19,56,3,4,4,37,4,38,-1,-1,36,37,5,58,59,19,57,56,19,58,57,58,55,57,56,58,54,58,55,54,19,58,56,54,19,56,19,59,59,58,55,19,56,59,19,54,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,181,91,182,181,91,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,5,55,54,59,58,54,59,55,58,54,19,59,19,59,57,59,56,58,58,55,54,54,54,54,19,59,58,54
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,88,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,88,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,4,37,37,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,5,57,19,57,55,3,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,37,37,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,37,37,37,37,37,37,4,37,4,5,19,56,57,56,54,59,56,59,54,57,19,57,54,58,3,4,37,4,37,37,4,37,4,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,73,73,74,146,181,181,181,180,182,162,74,72,73,74,-1,-1,-1,-1,-1,-1,-1,36,5,56,19,59,19,58,56,54,54,57,58,59,59,57,58,19,54,57,54,57,59,57,19,19,57,54,56
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,85,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,85,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,4,5,54,58,39,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,5,57,55,55,3,4,37,37,37,37,4,37,37,4,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,163,163,163,74,-1,90,180,180,162,164,180,180,182,91,181,91,92,146,126,110,-1,-1,-1,-1,-1,-1,-1,-1,36,4,5,58,54,57,55,57,19,58,54,56,19,56,57,57,58,58,59,57,19,58,58,19,59,19,58
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,31,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,34,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,54,57,19,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,4,37,4,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,146,181,91,91,162,163,164,180,181,181,180,91,182,181,180,181,182,162,164,92,72,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,5,19,59,54,55,58,59,19,58,54,59,54,57,57,19,57,59,59,54,56,58,56,59,59
